"PedigreeNodeId","Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","Points:0","Points:1","Points:2"
143,293.15,0,0,0,0.022831,0.18346,0.0062824,0.00097191,0.80929,0,5.75,0
706,403.61,-3.2215,0.5116,-15.335,0.022525,0.15521,0.0051343,0.00088394,0.83877,0,5.362,0
3173,403.61,-3.2602,-0.055345,-15.335,0.022526,0.15521,0.0051343,0.00088394,0.83877,-0.9311,5.2805,0
1829,293.15,0,0,0,0.022831,0.18346,0.0062824,0.00097191,0.80929,-0.99848,5.6626,0
6566,293.15,0,0,0,0.020114,0.18188,0.0060259,0.001025,0.81107,0,5.75,-0.28798
6690,408.49,-3.5535,0.38938,-16.328,0.020031,0.15261,0.0048608,0.00092822,0.84161,0,5.362,-0.28798
7000,408.49,-3.5661,-0.2334,-16.328,0.020032,0.1526,0.0048608,0.00092822,0.84161,-0.9311,5.2805,-0.28798
6966,293.15,0,0,0,0.020115,0.18188,0.0060258,0.001025,0.81107,-0.99848,5.6626,-0.28798
3174,403.61,-3.2002,-0.62017,-15.336,0.022526,0.15521,0.0051343,0.00088392,0.83877,-1.8339,5.0386,0
1828,293.15,0,0,0,0.022832,0.18346,0.0062824,0.00097189,0.80929,-1.9666,5.4032,0
7001,408.49,-3.4707,-0.84878,-16.329,0.020032,0.1526,0.0048608,0.0009282,0.84161,-1.8339,5.0386,-0.28798
6968,293.15,0,0,0,0.020115,0.18188,0.0060258,0.001025,0.81107,-1.9666,5.4032,-0.28798
3175,403.6,-3.0437,-1.1661,-15.337,0.022527,0.15521,0.0051344,0.00088388,0.83877,-2.681,4.6436,0
1827,293.15,0,0,0,0.022833,0.18346,0.0062824,0.00097185,0.80929,-2.875,4.9797,0
7002,408.48,-3.2703,-1.4383,-16.33,0.020033,0.1526,0.0048608,0.00092817,0.84161,-2.681,4.6436,-0.28798
6970,293.15,0,0,0,0.020116,0.18188,0.0060259,0.001025,0.81107,-2.875,4.9797,-0.28798
3176,403.6,-2.7955,-1.677,-15.338,0.022527,0.15521,0.0051345,0.00088384,0.83877,-3.4466,4.1075,0
1826,293.15,0,0,0,0.022833,0.18346,0.0062826,0.0009718,0.80929,-3.696,4.4048,0
7003,408.48,-2.9713,-1.9845,-16.331,0.020033,0.1526,0.004861,0.00092813,0.84161,-3.4466,4.1075,-0.28798
6972,293.15,0,0,0,0.020116,0.18188,0.006026,0.0010249,0.81107,-3.696,4.4048,-0.28798
3177,403.6,-2.4628,-2.1379,-15.338,0.022528,0.15521,0.0051347,0.00088381,0.83877,-4.1075,3.4466,0
1825,293.15,0,0,0,0.022834,0.18346,0.0062828,0.00097176,0.80929,-4.4048,3.696,0
7004,408.48,-2.5823,-2.4711,-16.331,0.020033,0.1526,0.0048611,0.00092811,0.84161,-4.1075,3.4466,-0.28798
6974,293.15,0,0,0,0.020116,0.18188,0.0060262,0.0010249,0.81107,-4.4048,3.696,-0.28798
3178,403.6,-2.0546,-2.5343,-15.338,0.022527,0.15521,0.0051349,0.0008838,0.83877,-4.6436,2.681,0
1824,293.15,0,0,0,0.022833,0.18346,0.006283,0.00097175,0.80929,-4.9797,2.875,0
7005,408.48,-2.1143,-2.8829,-16.331,0.020033,0.15261,0.0048613,0.0009281,0.8416,-4.6436,2.681,-0.28798
6976,293.15,0,0,0,0.020116,0.18188,0.0060264,0.0010249,0.81107,-4.9797,2.875,-0.28798
3179,403.6,-1.5831,-2.8531,-15.337,0.022527,0.15521,0.005135,0.00088381,0.83877,-5.0386,1.8339,0
1823,293.15,0,0,0,0.022833,0.18346,0.0062832,0.00097176,0.80928,-5.4032,1.9666,0
7006,408.48,-1.5816,-3.2066,-16.33,0.020033,0.15261,0.0048614,0.00092811,0.8416,-5.0386,1.8339,-0.28798
6978,293.15,0,0,0,0.020116,0.18188,0.0060266,0.0010249,0.81106,-5.4032,1.9666,-0.28798
3180,403.6,-1.0634,-3.0842,-15.336,0.022527,0.15521,0.0051351,0.00088383,0.83877,-5.2805,0.9311,0
1822,293.15,0,0,0,0.022832,0.18346,0.0062833,0.00097178,0.80928,-5.6626,0.99848,0
7007,408.49,-1.0006,-3.4322,-16.329,0.020032,0.15261,0.0048615,0.00092812,0.8416,-5.2805,0.9311,-0.28798
6980,293.15,0,0,0,0.020115,0.18189,0.0060267,0.0010249,0.81106,-5.6626,0.99848,-0.28798
3181,403.61,-0.51163,-3.2212,-15.336,0.022526,0.15521,0.0051351,0.00088384,0.83877,-5.362,5.3888e-14,0
1821,293.15,0,0,0,0.022832,0.18346,0.0062833,0.00097179,0.80928,-5.75,4.341e-14,0
7008,408.49,-0.38938,-3.5532,-16.329,0.020032,0.15261,0.0048615,0.00092813,0.8416,-5.362,5.4012e-14,-0.28798
6982,293.15,0,0,0,0.020115,0.18189,0.0060267,0.0010249,0.81106,-5.75,4.3521e-14,-0.28798
3182,403.61,0.055322,-3.2604,-15.336,0.022527,0.15521,0.0051351,0.00088383,0.83877,-5.2805,-0.9311,0
1820,293.15,0,0,0,0.022832,0.18346,0.0062833,0.00097179,0.80928,-5.6626,-0.99848,0
7009,408.49,0.23342,-3.5662,-16.329,0.020032,0.15261,0.0048615,0.00092813,0.8416,-5.2805,-0.9311,-0.28798
6984,293.15,0,0,0,0.020115,0.18189,0.0060267,0.0010249,0.81106,-5.6626,-0.99848,-0.28798
3183,403.6,0.62028,-3.2009,-15.337,0.022527,0.15521,0.0051351,0.00088382,0.83877,-5.0386,-1.8339,0
1819,293.15,0,0,0,0.022833,0.18346,0.0062833,0.00097177,0.80928,-5.4032,-1.9666,0
7010,408.48,0.84893,-3.4712,-16.33,0.020033,0.15261,0.0048615,0.00092811,0.8416,-5.0386,-1.8339,-0.28798
6986,293.15,0,0,0,0.020116,0.18189,0.0060267,0.0010249,0.81106,-5.4032,-1.9666,-0.28798
3184,403.6,1.1666,-3.0451,-15.338,0.022528,0.15521,0.0051351,0.0008838,0.83877,-4.6436,-2.681,0
1818,293.15,0,0,0,0.022833,0.18346,0.0062832,0.00097175,0.80929,-4.9797,-2.875,0
7011,408.48,1.4388,-3.2715,-16.331,0.020033,0.15261,0.0048615,0.0009281,0.8416,-4.6436,-2.681,-0.28798
6988,293.15,0,0,0,0.020116,0.18188,0.0060267,0.0010249,0.81106,-4.9797,-2.875,-0.28798
3185,403.6,1.6783,-2.7974,-15.338,0.022528,0.15521,0.005135,0.0008838,0.83877,-4.1075,-3.4466,0
1817,293.15,0,0,0,0.022834,0.18346,0.0062832,0.00097175,0.80929,-4.4048,-3.696,0
7012,408.48,1.9857,-2.9728,-16.331,0.020033,0.15261,0.0048615,0.00092809,0.8416,-4.1075,-3.4466,-0.28798
6990,293.15,0,0,0,0.020116,0.18188,0.0060266,0.0010249,0.81107,-4.4048,-3.696,-0.28798
3186,403.6,2.1398,-2.4642,-15.338,0.022527,0.15521,0.0051349,0.00088381,0.83877,-3.4466,-4.1075,0
1816,293.15,0,0,0,0.022833,0.18346,0.0062831,0.00097176,0.80929,-3.696,-4.4048,0
7013,408.48,2.4726,-2.5835,-16.331,0.020033,0.15261,0.0048614,0.00092811,0.8416,-3.4466,-4.1075,-0.28798
6992,293.15,0,0,0,0.020116,0.18188,0.0060265,0.0010249,0.81107,-3.696,-4.4048,-0.28798
3187,403.6,2.5359,-2.0553,-15.337,0.022527,0.15521,0.0051348,0.00088385,0.83877,-2.681,-4.6436,0
1815,293.15,0,0,0,0.022832,0.18346,0.0062829,0.0009718,0.80929,-2.875,-4.9797,0
7014,408.48,2.8842,-2.115,-16.33,0.020032,0.15261,0.0048613,0.00092814,0.8416,-2.681,-4.6436,-0.28798
6994,293.15,0,0,0,0.020115,0.18188,0.0060264,0.0010249,0.81107,-2.875,-4.9797,-0.28798
3188,403.6,2.8541,-1.5834,-15.336,0.022526,0.15521,0.0051346,0.00088389,0.83877,-1.8339,-5.0386,0
1814,293.15,0,0,0,0.022832,0.18346,0.0062828,0.00097185,0.80929,-1.9666,-5.4032,0
7015,408.49,3.2075,-1.5819,-16.329,0.020032,0.15261,0.0048611,0.00092818,0.8416,-1.8339,-5.0386,-0.28798
6996,293.15,0,0,0,0.020115,0.18188,0.0060262,0.001025,0.81107,-1.9666,-5.4032,-0.28798
3189,403.61,3.0849,-1.0635,-15.335,0.022526,0.15521,0.0051345,0.00088393,0.83877,-0.9311,-5.2805,0
1813,293.15,0,0,0,0.022831,0.18346,0.0062826,0.00097189,0.80929,-0.99848,-5.6626,0
7016,408.49,3.4328,-1.0007,-16.328,0.020032,0.15261,0.0048609,0.00092821,0.8416,-0.9311,-5.2805,-0.28798
6998,293.15,0,0,0,0.020114,0.18188,0.006026,0.001025,0.81107,-0.99848,-5.6626,-0.28798
171,403.61,3.2215,-0.5116,-15.335,0.022525,0.15521,0.0051343,0.00088394,0.83877,0,-5.362,0
129,293.15,0,0,0,0.022831,0.18346,0.0062824,0.00097191,0.80929,0,-5.75,0
6579,408.49,3.5535,-0.38938,-16.328,0.020031,0.15261,0.0048608,0.00092822,0.84161,0,-5.362,-0.28798
6557,293.15,0,0,0,0.020114,0.18188,0.0060259,0.001025,0.81107,0,-5.75,-0.28798
705,507.45,-6.3198,1.5722,-20.095,0.022323,0.13493,0.0041062,0.00085663,0.86011,0,4.974,0
3190,507.45,-6.495,0.45129,-20.095,0.022323,0.13493,0.0041061,0.00085663,0.86011,-0.86373,4.8984,0
6691,516.97,-6.9571,0.99877,-21.061,0.019978,0.13169,0.0038182,0.00089565,0.8636,0,4.974,-0.28798
7017,516.97,-7.0234,-0.22421,-21.062,0.019978,0.13169,0.0038182,0.00089565,0.8636,-0.86373,4.8984,-0.28798
3191,507.45,5.9525,-2.6462,-20.095,0.022323,0.13493,0.0041063,0.00085662,0.86011,-0.86373,-4.8984,0
172,507.45,6.3198,-1.5722,-20.095,0.022323,0.13493,0.0041062,0.00085663,0.86011,0,-4.974,0
7018,516.97,6.6793,-2.192,-21.062,0.019978,0.13169,0.0038183,0.00089563,0.8636,-0.86373,-4.8984,-0.28798
6578,516.97,6.9571,-0.99877,-21.061,0.019978,0.13169,0.0038182,0.00089565,0.8636,0,-4.974,-0.28798
704,615.79,-9.6589,2.4673,-18.7,0.022409,0.11813,0.003076,0.00087365,0.87792,0,4.586,0
3192,615.79,-9.9388,0.75301,-18.7,0.022409,0.11813,0.003076,0.00087365,0.87792,-0.79635,4.5163,0
6692,631.25,-10.602,1.4294,-19.292,0.019956,0.11444,0.0027825,0.00090866,0.88187,0,4.586,-0.28798
7019,631.25,-10.688,-0.43304,-19.292,0.019956,0.11444,0.0027825,0.00090866,0.88187,-0.79635,4.5163,-0.28798
3193,615.79,9.0854,-4.1076,-18.7,0.022409,0.11813,0.0030761,0.00087363,0.87792,-0.79635,-4.5163,0
173,615.79,9.6589,-2.4673,-18.7,0.022409,0.11813,0.003076,0.00087365,0.87792,0,-4.586,0
7020,631.25,10.194,-3.249,-19.292,0.019956,0.11444,0.0027826,0.00090865,0.88187,-0.79635,-4.5163,-0.28798
6577,631.25,10.602,-1.4294,-19.292,0.019956,0.11444,0.0027825,0.00090866,0.88187,0,-4.586,-0.28798
703,737.41,-13.566,2.7555,-12.687,0.022752,0.10328,0.0020302,0.00092649,0.89377,0,4.198,0
3194,737.4,-13.837,0.35828,-12.688,0.022752,0.10328,0.0020302,0.00092648,0.89377,-0.72897,4.1342,0
6693,763.09,-14.909,1.0933,-12.353,0.019929,0.09917,0.0017247,0.00096205,0.89814,0,4.198,-0.28798
7021,763.09,-14.872,-1.5121,-12.353,0.019929,0.099169,0.0017247,0.00096204,0.89814,-0.72897,4.1342,-0.28798
3195,737.4,12.883,-5.0699,-12.688,0.022752,0.10328,0.0020303,0.00092648,0.89377,-0.72897,-4.1342,0
174,737.41,13.566,-2.7555,-12.687,0.022752,0.10328,0.0020302,0.00092649,0.89377,0,-4.198,0
7022,763.09,14.494,-3.6659,-12.353,0.019928,0.09917,0.0017248,0.00096204,0.89814,-0.72897,-4.1342,-0.28798
6576,763.09,14.909,-1.0933,-12.353,0.019929,0.09917,0.0017247,0.00096205,0.89814,0,-4.198,-0.28798
157,913.15,-19.949,0,-0.12938,0.024829,0.087597,0.00087617,0.0010081,0.91052,0,3.81,0
2051,913.15,-19.646,-3.4641,-0.12937,0.02483,0.087597,0.00087616,0.0010081,0.91052,-0.6616,3.7521,0
6563,913.15,-19.949,0,6.0993e-24,0.019497,0.086233,0.00063138,0.0010739,0.91206,0,3.81,-0.28798
6916,913.15,-19.646,-3.4641,6.0993e-24,0.019497,0.086232,0.00063137,0.0010739,0.91206,-0.6616,3.7521,-0.28798
2052,913.15,-18.746,-6.823,-0.12938,0.02483,0.087596,0.00087618,0.0010081,0.91052,-1.3031,3.5802,0
3196,737.4,-13.688,-2.0487,-12.688,0.022752,0.10328,0.0020302,0.00092646,0.89377,-1.4358,3.9448,0
6918,913.15,-18.746,-6.823,6.0993e-24,0.019497,0.086232,0.00063137,0.0010739,0.91206,-1.3031,3.5802,-0.28798
7023,763.09,-14.383,-4.0712,-12.353,0.019929,0.099169,0.0017247,0.00096203,0.89814,-1.4358,3.9448,-0.28798
2053,913.15,-17.276,-9.9746,-0.12939,0.02483,0.087595,0.00087623,0.001008,0.91052,-1.905,3.2996,0
3197,737.39,-13.124,-4.3928,-12.69,0.022752,0.10328,0.0020303,0.00092643,0.89377,-2.099,3.6356,0
6920,913.15,-17.276,-9.9746,6.0993e-24,0.019497,0.086231,0.00063139,0.0010739,0.91206,-1.905,3.2996,-0.28798
7024,763.09,-13.457,-6.5065,-12.354,0.019929,0.099168,0.0017247,0.000962,0.89814,-2.099,3.6356,-0.28798
2054,913.15,-15.282,-12.823,-0.1294,0.024829,0.087594,0.00087631,0.001008,0.91052,-2.449,2.9186,0
3198,737.39,-12.164,-6.6039,-12.691,0.022752,0.10328,0.0020304,0.00092641,0.89377,-2.6984,3.2159,0
6922,913.15,-15.282,-12.823,6.0993e-24,0.019496,0.086231,0.00063141,0.0010739,0.91206,-2.449,2.9186,-0.28798
7025,763.09,-12.123,-8.7442,-12.355,0.019929,0.099168,0.0017248,0.00096198,0.89814,-2.6984,3.2159,-0.28798
2055,913.15,-12.823,-15.282,-0.12941,0.02483,0.087595,0.00087639,0.001008,0.91052,-2.9186,2.449,0
3199,737.39,-10.834,-8.6163,-12.691,0.022752,0.10328,0.0020305,0.00092639,0.89377,-3.2159,2.6984,0
6924,913.15,-12.823,-15.282,6.0993e-24,0.019496,0.086231,0.00063144,0.0010739,0.91206,-2.9186,2.449,-0.28798
7026,763.09,-10.421,-10.717,-12.355,0.019929,0.099169,0.0017249,0.00096197,0.89814,-3.2159,2.6984,-0.28798
2056,913.15,-9.9746,-17.276,-0.12941,0.02483,0.087596,0.00087638,0.001008,0.91052,-3.2996,1.905,0
3200,737.39,-9.1728,-10.369,-12.691,0.022752,0.10328,0.0020305,0.00092639,0.89377,-3.6356,2.099,0
6926,913.15,-9.9746,-17.276,6.0993e-24,0.019496,0.086232,0.00063146,0.0010739,0.91206,-3.2996,1.905,-0.28798
7027,763.09,-8.4021,-12.365,-12.355,0.019929,0.09917,0.0017249,0.00096197,0.89814,-3.6356,2.099,-0.28798
2057,913.15,-6.823,-18.746,-0.1294,0.02483,0.087598,0.00087631,0.0010081,0.91052,-3.5802,1.3031,0
3201,737.4,-7.2308,-11.806,-12.689,0.022753,0.10328,0.0020305,0.00092642,0.89376,-3.9448,1.4358,0
6928,913.15,-6.823,-18.746,6.0993e-24,0.019497,0.086234,0.00063147,0.0010739,0.91206,-3.5802,1.3031,-0.28798
7028,763.09,-6.127,-13.636,-12.354,0.019929,0.099171,0.001725,0.00096199,0.89814,-3.9448,1.4358,-0.28798
2058,913.15,-3.4641,-19.646,-0.12939,0.02483,0.087599,0.00087626,0.0010081,0.91052,-3.7521,0.6616,0
3202,737.4,-5.0699,-12.882,-12.689,0.022753,0.10328,0.0020305,0.00092644,0.89376,-4.1342,0.72897,0
6930,913.15,-3.4641,-19.646,6.0993e-24,0.019498,0.086234,0.00063146,0.0010739,0.91206,-3.7521,0.6616,-0.28798
7029,763.09,-3.6658,-14.493,-12.354,0.019929,0.099172,0.0017249,0.00096201,0.89814,-4.1342,0.72897,-0.28798
2059,913.15,1.5061e-13,-19.949,-0.12939,0.024831,0.087599,0.00087626,0.0010081,0.91052,-3.81,-2.8764e-14,0
3203,737.41,-2.756,-13.566,-12.689,0.022753,0.10328,0.0020305,0.00092645,0.89376,-4.198,-1.478e-14,0
6932,913.15,1.5114e-13,-19.949,6.0993e-24,0.019498,0.086235,0.00063146,0.0010739,0.91206,-3.81,-2.8866e-14,-0.28798
7030,763.09,-1.0934,-14.909,-12.354,0.019929,0.099172,0.0017249,0.00096201,0.89814,-4.198,-1.435e-14,-0.28798
2060,913.15,3.4641,-19.646,-0.12939,0.02483,0.087599,0.00087626,0.0010081,0.91052,-3.7521,-0.6616,0
3204,737.4,-0.35852,-13.838,-12.689,0.022753,0.10328,0.0020305,0.00092645,0.89376,-4.1342,-0.72897,0
6934,913.15,3.4641,-19.646,6.0993e-24,0.019498,0.086235,0.00063146,0.0010739,0.91206,-3.7521,-0.6616,-0.28798
7031,763.09,1.512,-14.872,-12.354,0.019929,0.099172,0.0017249,0.00096201,0.89814,-4.1342,-0.72897,-0.28798
2061,913.15,6.823,-18.746,-0.1294,0.02483,0.087599,0.00087631,0.0010081,0.91052,-3.5802,-1.3031,0
3205,737.4,2.0485,-13.689,-12.69,0.022753,0.10328,0.0020305,0.00092643,0.89376,-3.9448,-1.4358,0
